ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
5,هنيك، قدام معلومات السياح بالضبط.,هناك، قدام الاستعلامات السياحية على طول.,لهيك، بالضبط قدام المكتب تع معلومات السياح.,هناك، بالزبط مقابل مكتب المعلومات السياحية.,قدام مكتب ارشادات السياح على طول.,هناك، بالضبط مقابيل مكتب المعلومات السياحية.,هناك، بالضبط كدام مكتب معلومات السياح.,هونيك، بالظبط قدام مكتب استعلامات السياح.,غادي، بالضبط قدام مكتب المعلومات السياحية .,قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .,هنيك، قدام مكتب معلومات السياح بالزبط.,ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.,تما، بالضبط قبالت مكتب المعلومات ديال السياحة.,هناك، قدام مكتب المعلومات السياحية بالضبط.,قدام مكتب استعلامات السياح بالزبط.,هناك، بالظبط أمام مكتب معلومات السياح.,هنوك، بالضبط قدام مكتب المعلومات السياحيي.,، أمام بيانات السائح تماما .,هناك، بالضبط جدام امام مكتب المعلومات السياحية.,تما، مقابل مكتب استعلامات السياح بالضبط.,بالضبط مقابل مكتب معلومات السياح.,هناك، بالزبط قدام مكتب معلومات السياح .,هاناك، قبال مكتب المعلومات السياحيه بالضبط.,غادي، قدام مكتب الإرشادات السياحية بالضبط.,غادي، قدام متاع معلومات السواح بالضبط.,غادي، بالضبط قدام البيرو متاع الارشادات السياحية.
9,سمعان من قبل بهالعنوان هون.,ما سمعت عن العنوان دة هنا.,سمعت بهاذ العنوان في هاذ الجيهة.,سمعت أبداً عن هاد العنوان في المنطقة هون.,عمرى ماسمعت عن العنوان ده هنا.,ما سامع بهيج عنوان بهل المنطقة.,سامع بهذا العنوان هنا ابد.,ما سمعت بهالعنوان هون .,سمعت بالعنوان هضا هنا .,ما سمعت عن العنوان ده هنا .,سمعت بهيك عنوان هون من قبل.,قط سمعت بهالعنوان في هالمنطقة من قبل.,سمعت بهاد العنوان هنا.,سمعت بدا العنوان هنا.,ما سمعت هدا العنوان هون.,حصل سمعت بالعنوان دا هنا.,ما كن اسمعتو بهذا العنوان هوني.,بهذا العنوان من قبل بالقرب من هنا .,انا ماسمعت ابد بالهعنوان.,عمري سمعت هاد العنوان هنايا.,قد سمعت بهذا العنوان هنا.,عمري سمعت عن هالعنوان هون.,سمعتش ابدا بهذا العنوان هانا.,منعرفش الادريسة هذه قريبة من هوني.,سمعت بيه العنوان هدا هنايا.,ما سمعت بالادريسة هاذي هوني.
11,ساوي لبين ما تشوف صيدلية.,على طول لحد ما تشوف صيدلية.,قبالة حتى تشوف صيدلية.,دغري لعند ما تشوف صيدلية.,على طول لغاية متشوف صيدلية.,كبل لحد ما تشوف الصيدلية.,كبل لحد ما تشوف صيدلية.,دغري لحتى تشوف صيدلية.,طول لعند ما تشوف الصيدلية.,علطول لحد ما تلقي صيدلية.,مباشرة لحد ما تشوف صيدلية.,سيده لين تشوف صيدلية.,نيشان حتا تلقى الصيدلية.,سيدا لين ما تلاقي الصيدلية.,ماشي دغري لتلاقي صيدلية.,دغري لغاية تشوف صيدلية.,كبل الى ان اتشوف صيدليه.,السير في هذا الطريق حتى تجد صيدلية .,سيده حتى تشوف الصيدلية.,نيشان حتا تشوف صيدلية.,على طول لين تلقى صيدلية.,دغري حتى تشوف الصيدلية.,طوالي لوما تبسر صيدليه.,القدام لين تارى الفارمسي.,طول لين تشوف صيدلية.,طول طول حتى لين تشوف صيدلية.
26,بشقد الفطور؟,بكام الفطار؟,شحال القهوة تع الصباح؟,كم سعر الفطور؟,بكام الفطار ده؟,شكد يكلف الريوك؟,ابيش الريوك؟,أدي حق الترويقة؟,بكم الفطور؟,بكام الفطار؟,بأديش الفطور؟,بكم الريوق؟,شحال الثمن ديال الفطور؟,بكم الفطور؟,قديش الفطور؟,بي كم الفطور؟,بشقد التغيوقه؟,كم تكلفة الإفطار ؟,بجم سعر الريوق؟,شحال كا يدير الفطور؟,بكم الفطور؟,قديش حق هالفطور؟,بكم هو الصبوح؟,بقداش فطور الصباح؟,بقداش الفطور؟,بقداش فطور الصباح؟
27,شلون بقدر أساعدك؟,إزاى أقدر أساعدك؟,كيفاش نقدر نعاونك؟,كيف بقدر أساعدك؟,إزاي أقدر اساعدك؟,شلون اكدر اساعدك؟,شلون اكدر اساعدك؟,كيف فيني ساعدك؟,كيف نقدر نساعدك؟,ازاي أقدر اساعدك؟,كيف فيني ساعدك؟,شلون اقدر اساعدك؟,كيفاش نقدر نساعدك؟,كيف أقدر اساعدك؟,كيف بقدر أساعدك؟,كيف ممكن اساعدك؟,اشون اطيق اساعدك؟,كيف أستطيع مساعدتك ؟,كيف اقدر اساعدك؟,كيفاش نقدر نعاونك؟,كيف اقدر اساعدك؟,كيف بقدر اساعدك؟,كيف اقدر اساعدك؟,كيفاش النجم نعاونك؟,كيف نقدر نساعدك؟,كيفاش انجم نعاونك؟
30,عاليسار عند تالت مفرق.,شمال عند الناصية الثالثة.,على اليسار في الطريق الثالثة.,يسار من عند الدخلة التالتة.,شمال لغاية الناصية التالتة.,اخذ يسره ثالث زوية.,يسرة يم ثالث ركن.,روح شمال عالزاوية التالتة.,أمشي يسار للشوكة الثالثة.,شمال عند الناصية التالته.,لف عالشمال بالدخلة التالتة.,خذ ثالث لفة يسار.,ليسر في الزاوية الثالثة.,يسار عند الزواية الثالثة.,شمال عند الكورنر التالتة.,شمال عند الكورنة التالتة.,لليساغ عد ثالث زاويه.,يسارا عند الناصية الثالثة .,سير يسار للتقاطع الثالث.,القنت التالت دور على ليسر.,يسار عند ثالث زاوية.,شمال عند الزاوية الثالثة.,يسار عند الركن الثالث.,على الليسار مع الزنقة الثالثة.,تالت تقاطع خود يسار.,دور الدورة الثالثة عاليسار.
50,بتريد كريمة وسكر بقهوتك؟,كريمة وسكر فى القهوة بتاعتك؟,الكريمة و السكر فالقهوة ديالك؟,الكريمة والسكر مع قهوتك؟,كريمة وسكر على القهوة بتاعتك؟,اخليلك كريم وشكر بالكهوة مالتك؟,تريد كريمة وشكر بكهوتك؟,كريمة و سكر بقهوتك؟,كريمة و سكر في قهوتك؟,كريمة و سكر في قهوتك؟,كريما وسكر مع القهوة؟,سكر وكريمة في القهوة؟,تبغي كريم وسكر في القهوة ديالك؟,كريم وسكر في قهوتك؟,السكر و الكريمة مع قهوتك؟,كريمة و سكر في قهوتك؟,كريمه وشكر بالقهوي مالتك؟,تحب أن تضع قشدة وسكر في قهوتك ؟,نحط لك كريم و سكر بالقهوة؟,تبغي لاكريم و السكر في القهوة ديالك؟,بكريمة و سكر في قهوتك؟,كريما و سكر بقهوتك؟,كريمه وسكر في القهوة؟,الكريمة و السكر في قهوتك؟,حليب و سكر في قهوتك؟,كريمة و سكر في قهوتك؟
64,تصرفلي شيك الميتين دولار تبعي؟,تدفع الشيك بتاعى اللى بميتين دولار؟,تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟,تصرفلي الشيك بميتين دولار؟,تصرفلى الشيك بتاعى بمتين دولار؟,تصرفلي الصك مالتي أبو الميتين دولار؟,تصرف صك الميتين دولار مالتي؟,تصرفلي الشيك تبعي تبع المتين دولار؟,تصرفلي شيك ميتين دولار بتاعي؟,تصرفلي شيك بميتين دولار؟,تصرفلي هاد الشيك بقيمة ميتين دولار؟,تصرف لي قيمة جيكي بو ميتين دولار كاش؟,ممكن تصرف الشيك ديالي ديال مئتي دولار؟,تعطيني كاش للشيك دا الميتين دولار؟,تصرفلي شك الميتين دولار تبعي؟,يمكنك تصرف شيكي البي متين دولار؟,تصرفلي شيك قيمتو ميتين دولار؟,صرف الشيك ذو المائتي دولار الخاص بي ؟,تقدر تصرفلي شيك بمائتي دولار؟,تخلص الشيك ديالي ديال ميتين دولار؟,تصرف لي شيك المئتين دولار حقتي؟,تصرف هاد الشيك تبعي بميتين دولار؟,تصرف لي شيك الميتين الدولار؟,تصبلي الميتين دولار من الشاك هذا؟,تصرفلي الشيك متاعي الي بميتين دولار؟,تصبلي ها الشاك بميتين دولار متاعي؟
74,لازم يبين، اتصل فيني إذا سمحت.,المفروض يظهر، كلمنى لو سمحت.,لازم يظهر، عيطلي من فضلك.,بده يظهر، لو سمحت كلمني.,لو المفروض يظهر، كلمني.,صار شي، رجاءً اتصل بيه.,لازم يبين، خابرني بلا زحمة.,لازم يبين، عمل معروف دقلي.,المفروض يبان، كلمني لو سمحت.,لازم يظهر، لو سمحت كلمني .,بين، اتصل فيني رجاءً.,المفروض يصير، اتصل فيني.,خصه يبان، اتصل بيا عافاك.,لازم يظهر، اتصل عليا لو سمحت.,لازم يظهر، احكي معي.,مفروض يظهر، من فضلك اتصل على.,لازم يبين، رجاءا اتصل بيي.,حدث ذلك ، من فضلك أتصل بي .,كان مفروض يبين، اتصل فيني لو سمحت.,خصو يبان، عيط ليا عفاك.,كان يجب ان يظهر، الرجاء الاتصال بي.,لازم يظهر، لو سمحت احكي معي.,لازم يظهر، لو سمحت اتصل لي.,لازم يضهر، كلمني عيشك.,لازم يبان، كلمني لو سمحت.,لازم يضهر، كلمني عيشك.
86,وين الكافيه؟,فين الكوفى شوب؟,وين جايا القهوة؟,وين الكوفي شوب؟,فين الكوفي شوب؟,وين صايره الكهوة؟,وين الكهوة؟,وين القهوة؟,وين الكافي؟,فين القهوة؟,وين القهوة؟,وين الكوفي شوب؟,في كاين المقهى؟,فين المقهى؟,وين الكوفي شوب؟,وين المقهى؟,وين مكان الجيخانه؟,أين المقهى ؟,وين صاير المقهي؟,فين القهوة؟,وين المقهى؟,وين الكوفي شوب؟,اين هو الكافيه؟,وين تجي القهوة؟,وين مكان القهوه؟,ويني القهوة؟
