ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
5,قدام معلومات السياح بالضبط.,قدام الاستعلامات السياحية على طول.,قدام المكتب تع معلومات السياح.,بالزبط مقابل مكتب المعلومات السياحية.,مكتب ارشادات السياح على طول.,بالضبط مقابيل مكتب المعلومات السياحية.,بالضبط كدام مكتب معلومات السياح.,بالظبط قدام مكتب استعلامات السياح.,قدام مكتب المعلومات السياحية .,يادوبك قدام مكتب استعلامات السياحة .,قدام مكتب معلومات السياح بالزبط.,بالضبط جدام استعلامات السياح بالضبط.,قبالت مكتب المعلومات ديال السياحة.,قدام مكتب المعلومات السياحية بالضبط.,مكتب استعلامات السياح بالزبط.,بالظبط أمام مكتب معلومات السياح.,بالضبط قدام مكتب المعلومات السياحيي.,أمام بيانات السائح تماما .,جدام امام مكتب المعلومات السياحية.,مقابل مكتب استعلامات السياح بالضبط.,مقابل مكتب معلومات السياح.,قدام مكتب معلومات السياح .,قبال مكتب المعلومات السياحيه بالضبط.,قدام مكتب الإرشادات السياحية بالضبط.,قدام متاع معلومات السواح بالضبط.,قدام البيرو متاع الارشادات السياحية.
9,من قبل بهالعنوان هون.,سمعت عن العنوان دة هنا.,بهاذ العنوان في هاذ الجيهة.,عن هاد العنوان في المنطقة هون.,ماسمعت عن العنوان ده هنا.,سامع بهيج عنوان بهل المنطقة.,بهذا العنوان هنا ابد.,سمعت بهالعنوان هون .,بالعنوان هضا هنا .,عن العنوان ده هنا .,بهيك عنوان هون من قبل.,بهالعنوان في هالمنطقة من قبل.,بهاد العنوان هنا.,بدا العنوان هنا.,سمعت هدا العنوان هون.,سمعت بالعنوان دا هنا.,كن اسمعتو بهذا العنوان هوني.,من قبل بالقرب من هنا .,ماسمعت ابد بالهعنوان.,سمعت هاد العنوان هنايا.,سمعت بهذا العنوان هنا.,سمعت عن هالعنوان هون.,ابدا بهذا العنوان هانا.,الادريسة هذه قريبة من هوني.,بيه العنوان هدا هنايا.,سمعت بالادريسة هاذي هوني.
11,لبين ما تشوف صيدلية.,طول لحد ما تشوف صيدلية.,حتى تشوف صيدلية.,لعند ما تشوف صيدلية.,طول لغاية متشوف صيدلية.,لحد ما تشوف الصيدلية.,لحد ما تشوف صيدلية.,لحتى تشوف صيدلية.,لعند ما تشوف الصيدلية.,لحد ما تلقي صيدلية.,لحد ما تشوف صيدلية.,لين تشوف صيدلية.,حتا تلقى الصيدلية.,لين ما تلاقي الصيدلية.,دغري لتلاقي صيدلية.,لغاية تشوف صيدلية.,الى ان اتشوف صيدليه.,هذا الطريق حتى تجد صيدلية .,حتى تشوف الصيدلية.,حتا تشوف صيدلية.,طول لين تلقى صيدلية.,حتى تشوف الصيدلية.,لوما تبسر صيدليه.,لين تارى الفارمسي.,لين تشوف صيدلية.,طول حتى لين تشوف صيدلية.
26,بشقد الفطور؟,بكام الفطار؟,القهوة تع الصباح؟,سعر الفطور؟,الفطار ده؟,يكلف الريوك؟,ابيش الريوك؟,حق الترويقة؟,بكم الفطور؟,بكام الفطار؟,بأديش الفطور؟,بكم الريوق؟,الثمن ديال الفطور؟,بكم الفطور؟,قديش الفطور؟,كم الفطور؟,بشقد التغيوقه؟,تكلفة الإفطار ؟,سعر الريوق؟,كا يدير الفطور؟,بكم الفطور؟,حق هالفطور؟,هو الصبوح؟,فطور الصباح؟,بقداش الفطور؟,فطور الصباح؟
27,بقدر أساعدك؟,أقدر أساعدك؟,نقدر نعاونك؟,بقدر أساعدك؟,أقدر اساعدك؟,اكدر اساعدك؟,اكدر اساعدك؟,فيني ساعدك؟,نقدر نساعدك؟,أقدر اساعدك؟,فيني ساعدك؟,اقدر اساعدك؟,نقدر نساعدك؟,أقدر اساعدك؟,بقدر أساعدك؟,ممكن اساعدك؟,اطيق اساعدك؟,أستطيع مساعدتك ؟,اقدر اساعدك؟,نقدر نعاونك؟,اقدر اساعدك؟,بقدر اساعدك؟,اقدر اساعدك؟,النجم نعاونك؟,نقدر نساعدك؟,انجم نعاونك؟
30,عند تالت مفرق.,عند الناصية الثالثة.,اليسار في الطريق الثالثة.,من عند الدخلة التالتة.,لغاية الناصية التالتة.,يسره ثالث زوية.,يم ثالث ركن.,شمال عالزاوية التالتة.,يسار للشوكة الثالثة.,عند الناصية التالته.,عالشمال بالدخلة التالتة.,ثالث لفة يسار.,في الزاوية الثالثة.,عند الزواية الثالثة.,عند الكورنر التالتة.,عند الكورنة التالتة.,عد ثالث زاويه.,عند الناصية الثالثة .,يسار للتقاطع الثالث.,التالت دور على ليسر.,عند ثالث زاوية.,عند الزاوية الثالثة.,عند الركن الثالث.,الليسار مع الزنقة الثالثة.,تقاطع خود يسار.,الدورة الثالثة عاليسار.
50,كريمة وسكر بقهوتك؟,وسكر فى القهوة بتاعتك؟,و السكر فالقهوة ديالك؟,والسكر مع قهوتك؟,وسكر على القهوة بتاعتك؟,كريم وشكر بالكهوة مالتك؟,كريمة وشكر بكهوتك؟,و سكر بقهوتك؟,و سكر في قهوتك؟,و سكر في قهوتك؟,وسكر مع القهوة؟,وكريمة في القهوة؟,كريم وسكر في القهوة ديالك؟,وسكر في قهوتك؟,و الكريمة مع قهوتك؟,و سكر في قهوتك؟,وشكر بالقهوي مالتك؟,تضع قشدة وسكر في قهوتك ؟,لك كريم و سكر بالقهوة؟,و السكر في القهوة ديالك؟,و سكر في قهوتك؟,و سكر بقهوتك؟,وسكر في القهوة؟,و السكر في قهوتك؟,و سكر في قهوتك؟,و سكر في قهوتك؟
64,شيك الميتين دولار تبعي؟,الشيك بتاعى اللى بميتين دولار؟,دولار تاوعي لي راهوم فالشاك؟,الشيك بميتين دولار؟,الشيك بتاعى بمتين دولار؟,الصك مالتي أبو الميتين دولار؟,صك الميتين دولار مالتي؟,الشيك تبعي تبع المتين دولار؟,شيك ميتين دولار بتاعي؟,شيك بميتين دولار؟,هاد الشيك بقيمة ميتين دولار؟,قيمة جيكي بو ميتين دولار كاش؟,الشيك ديالي ديال مئتي دولار؟,كاش للشيك دا الميتين دولار؟,شك الميتين دولار تبعي؟,تصرف شيكي البي متين دولار؟,شيك قيمتو ميتين دولار؟,ذو المائتي دولار الخاص بي ؟,تصرفلي شيك بمائتي دولار؟,الشيك ديالي ديال ميتين دولار؟,لي شيك المئتين دولار حقتي؟,هاد الشيك تبعي بميتين دولار؟,لي شيك الميتين الدولار؟,الميتين دولار من الشاك هذا؟,الشيك متاعي الي بميتين دولار؟,ها الشاك بميتين دولار متاعي؟
74,يبين، اتصل فيني إذا سمحت.,يظهر، كلمنى لو سمحت.,يظهر، عيطلي من فضلك.,يظهر، لو سمحت كلمني.,المفروض يظهر، كلمني.,شي، رجاءً اتصل بيه.,يبين، خابرني بلا زحمة.,يبين، عمل معروف دقلي.,يبان، كلمني لو سمحت.,يظهر، لو سمحت كلمني .,اتصل فيني رجاءً.,يصير، اتصل فيني.,يبان، اتصل بيا عافاك.,يظهر، اتصل عليا لو سمحت.,يظهر، احكي معي.,يظهر، من فضلك اتصل على.,يبين، رجاءا اتصل بيي.,، من فضلك أتصل بي .,يبين، اتصل فيني لو سمحت.,يبان، عيط ليا عفاك.,ان يظهر، الرجاء الاتصال بي.,يظهر، لو سمحت احكي معي.,يظهر، لو سمحت اتصل لي.,يضهر، كلمني عيشك.,يبان، كلمني لو سمحت.,يضهر، كلمني عيشك.
86,وين الكافيه؟,الكوفى شوب؟,جايا القهوة؟,الكوفي شوب؟,الكوفي شوب؟,صايره الكهوة؟,وين الكهوة؟,وين القهوة؟,وين الكافي؟,فين القهوة؟,وين القهوة؟,الكوفي شوب؟,كاين المقهى؟,فين المقهى؟,الكوفي شوب؟,وين المقهى؟,مكان الجيخانه؟,المقهى ؟,صاير المقهي؟,فين القهوة؟,وين المقهى؟,الكوفي شوب؟,هو الكافيه؟,تجي القهوة؟,مكان القهوه؟,ويني القهوة؟
